Таблица 1
НЕИСПРАВНОСТЬ,ВОЗМОЖНАЯ ПРИЧИНА,СПОСОБ РЕШЕНИЯ
"I.
ЧИЛЛЕР НЕ ВКЛЮЧАЕТСЯ","1. Отсутствует электропитание
2. Электрические подключения выполнены неверно
или контакты on-off («ВКЛ.-ВЫКЛ.») открыты.
3. Сработала защита компрессора по перегреву
4. Нет управляющего сигнала на включение с пульта
дистанционного управления.
5. Нет управляющего сигнала от рабочего датчика.
6. Нет управляющего сигнала с устройства
предотвращения обмерзания.","1. Убедитесь, что чиллер правильно подключен к сети
электропитания.
2. Проверьте последовательность фаз, напряжение
электропитания и закройте контакты.
3. См. пункт VII.
4. Проверьте циркуляционный насос, реле потока и
прочистите контур. Проверьте управляющие сигналы
от других устройств.
5. Система под температурой, но сигнал на охлаждение
не генерируется. Проверьте уставки и
функционирование чиллера.
6. Проверьте калибровку и работоспособность устройств."
"II.
ОДИН ИЛИ ОБА
КОМПРЕССОРА НЕ
ВКЛЮЧАЮТСЯ","1. Компрессор перегорел.
2. Силовой контур разомкнут.
3. Один из пускателей компрессора поврежден.
4. Один из пускателей компрессора отключен.","1. Замените компрессор.
2. Закройте размыкатель компрессора после выявления
причины их размыкания.
3. Компрессор работал в критических условиях или в
системе недостаточно хладагента.
4. Проверьте вольтаж на концах обмотки пускателя и
целостность обмотки. Замените обмотку в случае
неисправности."
"III.
КОМПРЕССОР ЧАСТО И
ЦИКЛИЧНО ВКЛЮЧАЕТСЯ","1. Компрессор вышел из строя.
2. Сработало реле низкого давления.
3. Один из пускателей компрессора поврежден.","1. Выполните диагностику и при необходимости
замените компрессор.
2. См. пункт V."
"IV.
КОМПРЕССОР НЕ
ВКЛЮЧАЕТСЯ, ПОТОМУ
ЧТО СРАБОТАЛО РЕЛЕ
ВЫСОКОГО ДАВЛЕНИЯ","1. Реле давления не работает.
2. Чиллер перегружен.
3. В контур чиллера заправлен неконденсирующийся
газ.
4. Фильтр-осушитель хладагента загрязнен.
5. Сетка фильтра конденсатора (решетка)
загрязнена. Приток воздуха очень слабый.
6. Вентиляторы не работают.
7. В гидравлическом контуре присутствует воздух.
8. Циркуляционный насос вышел из строя.","1. Проверьте и при необходимости замените.
2. Удалите излишек жидкости из системы (как описано в
главе 10).
3. Опустошите холодильный контур, выдержите его под
давлением и заправьте нужным фреоном.
4. Проверьте и при необходимости замените.
5. Почистите сетки (решетки) сжатым воздухом или
водой.
6. См. пункт VIII.
7. Стравите воздух из гидравлического контура.
8. Проверьте насос и при необходимости замените его."
"V.
КОМПРЕССОР НЕ
ВКЛЮЧАЕТСЯ, ПОТОМУ
ЧТО СРАБОТАЛО РЕЛЕ
НИЗКОГО ДАВЛЕНИЯ","1. Реле давления не работает.
2. Контур чиллера пуст.
3. Запорный вентиль на линии жидкости открыт не
полностью.
4. Соленоид на линии жидкости работает плохо.
5. ТРВ работает плохо.
6. Фильтр-осушитель загрязнен.
7. Вентиляторы конденсатора не работают**.
8. Змеевик конденсатора покрыт льдом.
9. Нештатная работа водяного насоса.","1. Проверьте и при необходимости замените.
2. См. пункт IX.
3. Проверьте его и откройте полностью, если это
необходимо.
4. Проверьте, подается ли на соленоид питание и
замените его, если это необходимо.
5. Проверьте, очистите и при необходимости замените.
6. Проверьте и при необходимости замените.
7. См. пункт VII.
8. См. пункт XIV.
9. Проверьте насос и при необходимости замените его."
"VI.
КОМПРЕССОР НЕ
ВКЛЮЧАЕТСЯ, ПОТОМУ
ЧТО СРАБОТАЛА ЗАЩИТА
ПО ПЕРЕГРЕВУ","1. Компрессор вышел из строя.
2. Перегрузка двигателя компрессора.
3. Недостаточно фреона / перегрев на линии
всасывания слишком высок.
4. Защита компрессора по перегреву вышла из
строя.
5. Неправильная работа при коммутации по Y-Δ.","1. Проверьте и при необходимости замените.
2. Проверьте параметры питания подающегося на
компрессор и давление нагнетания.
3. Проверьте перегрев, регулируя термостатический
вентиль.
4. Её необходимо заменить.
5. Проверьте проводку и все компоненты.
Проверьте настройку таймера коммутации."
"VII.
ВЕНТИЛЯТОР НЕ
ВКЛЮЧАЕТСЯ","1. На контактор вентилятора не подается питание.
2. Цепь вентилятора разомкнута по аварийному
перегреву.
3. Подключения выполнены неверно.
4. Двигатель вентилятора неисправен.","1. Проверьте вольтаж на концах обмотки контактора и
целостность обмотки. Замените обмотку в случае
неисправности.
2. Проверьте изоляцию витков обмотки и изоляцию
между витками и заземлением.
3. Проверьте подключения и надежно зафиксируйте их.
4. Проверьте и при необходимости замените."
"VIII.
УТЕЧКА ХЛАДАГЕНТА",В холодильном контуре имеется течь.,"После выдерживания контура под давлением 10 бар,
проверьте контур тестером на наличие утечек. Если
таковые имеются, устраните их, провакуумируйте
контур и заправьте его фреоном."
"IX.
УТЕЧКА МАСЛА","1. Возможно, образовалась компрессия жидкого
хладагента или возврат жидкости в контур.
2. Дифференциал давления слишком маленький.","1. Проверьте ТЭН картера компрессора.
Проверьте перегрев регулируя ТРВ.
Проверьте фильтр масла.
Дозаправьте систему маслом, если это необходимо.
2. Проверьте соответствующие настройки. В чиллерах,
оснащенных вентилем регулирования давления,
необходимо проверить калибровку этого вентиля."
"X.
ЖИДКОСТНАЯ ЛИНИЯ
ПОКРЫТА ИНЕЕМ / ЛЬДОМ","1. Запорный вентиль на линии жидкости закрыт.
2. Фильтр на линии жидкости загрязнен.","1. Откройте его.
2. Проверьте и при необходимости замените."
